,precision,recall,f1-score,support
0,0.6936671575846833,0.7511961722488039,0.7212863705972435,627.0
1,0.5870535714285714,0.4897579143389199,0.534010152284264,537.0
2,0.7233009708737864,0.7946666666666666,0.7573062261753494,375.0
accuracy,0.6705653021442495,0.6705653021442495,0.6705653021442495,0.6705653021442495
macro avg,0.6680072332956803,0.6785402510847968,0.6708675830189522,1539.0
weighted avg,0.663687420234184,0.6705653021442495,0.6647172455860153,1539.0
