Feature,Importance,Std_x,Mean,Std_y,CV
rf_abs_delta_power,0.005912930474333955,0.003081456972418303,-1.8474850123767557e-18,1.0,5.412763802145914e+17
lf_otel_alpha_plv,0.0057179987004548185,0.00305876602883425,-4.4339640297042135e-17,1.0,2.255318250894131e+16
oter_rel_theta_power_smoothed,0.005263157894736814,0.00247340692796286,-5.542455037130267e-18,0.9999999999999999,1.8042546007153046e+17
rf_otel_theta_plv,0.005068226120857666,0.0013252812251053558,2.3647808158422474e-16,1.0,4228721720426495.5
rf_abs_theta_power,0.004743339831059112,0.003170597244640903,-2.4017305160897822e-17,1.0,4.1636644631891656e+16
otel_rel_alpha_power,0.004743339831059101,0.004368965685253881,-5.542455037130267e-18,1.0,1.804254600715305e+17
oter_abs_alpha_power_smoothed,0.0047433398310590905,0.003974250470012482,1.66273651113908e-17,0.9999999999999999,6.014182002384349e+16
rf_rel_theta_power_smoothed,0.004548408057179954,0.0035351450315101764,-2.5864790173274577e-17,1.0,3.8662598586756536e+16
otel_rel_delta_power,0.004353476283300839,0.002500569383352025,2.3093562654709443e-17,1.0,4.330211041716732e+16
lf_otel_theta_plv,0.00415854450942168,0.0034037169210419235,1.5149377101489394e-16,0.9999999999999999,6600931466031603.0
rf_abs_theta_power_smoothed,0.003963612735542532,0.0027018353328514336,-1.4779880099014046e-17,0.9999999999999999,6.765954752682392e+16
oter_sef95,0.003443794671864808,0.0027111950675796056,3.1776742212880195e-16,1.0,3146955698922043.5
lf_rel_theta_power_smoothed,0.0033788174139050995,0.0032070078438604516,3.879718525991187e-17,1.0,2.5775065724504356e+16
lf_rel_alpha_power_smoothed,0.0033138401559453913,0.0048489754923471354,-1.1084910074260534e-17,1.0,9.021273003576525e+16
oter_abs_alpha_power,0.0031189083820662433,0.003918080164179679,-1.2932395086637288e-17,1.0,7.732519717351307e+16
stillness_score,0.002988953866146826,0.001748359200399435,0.0,0.9999999999999999,0.0
movement_count,0.002858999350227398,0.001205148602403605,-1.1084910074260534e-17,0.9999999999999997,9.021273003576522e+16
movement_intensity,0.0024041585445093937,0.002726723230455787,2.955976019802809e-17,0.9999999999999999,3.382977376341196e+16
otel_oter_alpha_plv,0.002209226770630235,0.0025696842018564266,-4.8034610321795644e-17,1.0,2.0818322315945828e+16
lf_rel_alpha_power,0.0021442495126705375,0.0018843404808317195,-7.389940049507023e-18,1.0,1.3531909505364786e+17
otel_rel_alpha_power_smoothed,0.002079272254710829,0.003031034123376378,-9.237425061883778e-18,0.9999999999999999,1.0825527604291829e+17
otel_oter_theta_plv,0.0019493177387914008,0.003033818721229057,-2.327831115594712e-16,1.0,4295844287417392.5
oter_rel_alpha_power,0.0019493177387913784,0.0027413935165339865,-9.237425061883778e-18,1.0,1.082552760429183e+17
oter_rel_theta_power,0.0018193632228719614,0.0025958394224091155,-1.4779880099014046e-17,1.0,6.765954752682393e+16
lf_alpha_theta_ratio,0.0017543859649122528,0.0022518159130816714,4.618712530941889e-18,1.0,2.165105520858366e+17
otel_rel_theta_power,0.0016244314489928357,0.003416716523751761,1.1084910074260534e-17,1.0,9.021273003576525e+16
otel_alpha_theta_ratio,0.0016244314489928247,0.0019974562896607393,-3.879718525991187e-17,1.0,2.5775065724504356e+16
lf_rel_delta_power,0.0014944769330733965,0.002014294996751145,2.2169820148521067e-17,1.0,4.510636501788262e+16
otel_oter_theta_coherence,0.0014944769330733853,0.0013332218667110615,-1.404088609406334e-16,1.0,7122057634402520.0
accel_magnitude_std,0.0013645224171539572,0.0031222907801777768,2.955976019802809e-17,0.9999999999999999,3.382977376341196e+16
oter_abs_delta_power,0.0012995451591942485,0.002075207202426414,1.8474850123767557e-18,1.0,5.412763802145914e+17
otel_alpha_theta_ratio_smoothed,0.0012995451591942375,0.0040889233846789445,2.5864790173274577e-17,1.0,3.8662598586756536e+16
oter_rel_delta_power,0.0012345679012345401,0.002296373885259564,6.466197543318644e-18,1.0,1.5465039434702614e+17
lf_oter_theta_coherence,0.0011695906432748204,0.0025465780301839333,-4.064467027228862e-17,1.0,2.460347182793598e+16
lf_abs_theta_power_smoothed,0.0011046133853151007,0.002772786003034692,1.8474850123767555e-17,1.0,5.412763802145915e+16
rf_rel_alpha_power,0.0009746588693956837,0.004060428797912409,-1.1084910074260534e-17,1.0,9.021273003576525e+16
lf_rel_theta_power,0.0008447043534762444,0.0025507194836115123,1.9398592629955934e-17,1.0,5.155013144900871e+16
oter_alpha_theta_ratio_smoothed,0.0007147498375568273,0.0031087391069280676,-6.466197543318644e-18,0.9999999999999999,1.5465039434702614e+17
lf_oter_alpha_coherence,0.0006497725795971187,0.0028913054530587427,1.330189208911264e-16,1.0,7517727502980437.0
oter_alpha_theta_ratio,0.0006497725795971077,0.002934786170405769,1.4779880099014046e-17,1.0,6.765954752682393e+16
rf_rel_theta_power,0.0005847953216373992,0.0028240823667447386,-1.4779880099014046e-17,1.0,6.765954752682393e+16
lf_oter_alpha_plv,0.0005198180636776905,0.0019010706742466326,-4.4339640297042135e-17,1.0,2.255318250894131e+16
rf_otel_alpha_coherence,6.497725795968634e-05,0.002670399296690653,2.07842063892385e-16,1.0,4811345601907480.0
lf_rf_theta_coherence,0.0,0.0,0.0,0.0,0.0
lf_rf_theta_plv,0.0,0.0,0.0,0.0,0.0
lf_rf_alpha_coherence,0.0,0.0,0.0,0.0,0.0
